title,image_url
Prodej bytu 2+kk 30 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J4/deANUf.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 3+1 41 m²,"https://d18-a.sdn.cz/d_18/c_img_gQ_q/JciCBqn.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 4+kk 71 m²,"https://d18-a.sdn.cz/d_18/c_img_QO_K1/6QziIR.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 3+1 46 m²,"https://d18-a.sdn.cz/d_18/c_img_QM_Ka/ajzBgHK.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 2+kk 40 m²,"https://d18-a.sdn.cz/d_18/c_img_QO_K0/GTvBPFH.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 4+kk 50 m²,"https://d18-a.sdn.cz/d_18/c_img_QL_J4/SbRBdDb.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 2+kk 25 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ld/0SeHCj.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 2+kk 25 m²,"https://d18-a.sdn.cz/d_18/c_img_QP_K5/f2i9Z0.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 3+1 41 m²,"https://d18-a.sdn.cz/d_18/c_img_QI_Jg/yAVBmiR.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
Prodej bytu 2+1 64 m²,"https://d18-a.sdn.cz/d_18/c_img_QM_Ka/He7yUt.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
